L,h,l,center.1.,center.2.,center.3.,oriant.1.,oriant.2.,Stuck
20,25,23,50,168,5,77,12,0
15,20,18,55,96,15,109,137,0
10,15,13,39,176,42,115,4,0
10,15,13,127,256,40,173,172,0
5,10,8,196,249,16,92,3,0
5,10,8,147,280,7,44,124,0
5,10,8,115,59,31,95,24,0
5,10,8,2,274,29,74,63,0
3,5,4,106,271,29,107,47,0
3,5,4,50,80,13,12,74,0
3,5,4,7,132,40,81,35,0
3,5,4,24,346,2,113,40,0
3,5,4,121,143,21,112,119,0
3,5,4,58,277,17,163,144,0
3,5,4,57,152,27,112,128,0
3,5,4,129,53,24,20,166,0
3,5,4,127,215,13,100,99,0
1,3,2,125,192,28,91,64,0
1,3,2,23,174,10,3,111,0
1,3,2,6,159,37,31,95,0
1,3,2,24,280,21,96,79,0
1,3,2,73,342,34,2,166,0
1,3,2,140,72,22,17,104,0
1,3,2,96,197,23,88,87,0
1,3,2,172,226,6,110,97,0
1,3,2,147,260,18,88,179,0
1,3,2,129,190,31,49,44,0
1,3,2,74,319,28,118,93,0
1.13333333333,1,1.03333333333,124,229,24,127,130,0
1.13333333333,1,1.03333333333,158,64,9,60,156,0
1.13333333333,1,1.03333333333,175,213,32,52,131,0
1.13333333333,1,1.03333333333,200,117,4,65,95,0
1.13333333333,1,1.03333333333,2,184,24,63,144,0
1.13333333333,1,1.03333333333,5,178,3,179,24,0
1.13333333333,1,1.03333333333,189,143,30,10,88,0
1.13333333333,1,1.03333333333,150,138,2,97,65,0
1.13333333333,1,1.03333333333,100,65,6,76,117,0
1.13333333333,1,1.03333333333,190,154,23,16,86,0
1.13333333333,1,1.03333333333,150,215,34,27,171,0
1.13333333333,1,1.03333333333,37,146,18,107,29,0
1.13333333333,1,1.03333333333,111,40,1,21,137,0
1.13333333333,1,1.03333333333,69,354,38,131,151,0
1.13333333333,1,1.03333333333,12,97,23,160,68,0
