Day,AvTemp,AvWat,Rainfall
1,26.49791667,0.249875,0
2,27.45791667,0.291145833,0
3,26.58375,0.294916667,0
4,26.47041667,0.300291667,0
5,26.45958333,0.301791667,0
6,26.52770833,0.297916667,0
7,26.51541667,0.2940625,0
8,26.23916667,0.2925625,0
9,26.37354167,0.289104167,0
10,26.39166667,0.2889375,0
11,26.31479167,0.295145833,0
12,26.408125,0.301625,0
13,26.49375,0.3033125,0
14,26.619375,0.304395833,0
15,26.47541667,0.3011875,0
16,25.94583333,0.3223125,0
17,25.91291667,0.33125,0
18,25.91625,0.334208333,0
19,25.980625,0.3361875,0
20,26.06333333,0.336791667,0
21,26.08395833,0.334458333,0
22,26.16479167,0.325520833,0
23,24.70916667,0.33225,0
24,24.56479167,0.302375,0
25,24.62645833,0.2536875,0
26,24.5375,0.317854167,0
27,24.55791667,0.307229167,0
28,24.58604167,0.259291667,0
29,24.585625,0.261104167,0
30,24.60604167,0.223479167,0
31,24.645,0.172333333,0
32,25.00636364,0.004681818,0
