"Order","Frc","tgball"
"Start","0","30.31"
"MX300 13","0.033333333","38.97"
"MX300 13","0.166666667","43.3"
"MX300 13","0.283333333","47.63"
"MX300 13","0.316666667","51.96"
"MX300 13","0.366666667","56.29"
"MX300 13","0.383333333","60.62"
"MX300 13","0.416666667","64.95"
"MX300 13","0.466666667","69.28"
"MX300 13","0.5","73.61"
"MX300 13","0.533333333","77.94"
"MX300 13","0.566666667","82.27"
"MX300 13","0.583333333","86.6"
"MX300 13","0.6","90.93"
"MX300 13","0.616666667","95.26"
"MX300 13","0.633333333","99.59"
"MX300 13","0.65","116.91"
"MX300 13","0.683333333","177.53"
"not Germ","1","99999"
